Year,County,Hospital,OSHPDID,Measure,Risk Adjusted Rate,# of Deaths/Readmissions,# of Cases,Hospital Ratings,Location 1
2012-2013,Alameda,Washington Hospital – Fremont,106010987,30-day Mortality,8.74,35,347,As Expected,"(37.55847, -121.98006)"
2012-2013,Alameda,Washington Hospital – Fremont,106010987,30-day Readmission,13,44,330,As Expected,"(37.55847, -121.98006)"
2012-2013,Alameda,San Leandro Hospital,106013619,30-day Readmission,5.36,4,65,As Expected,"(37.71364, -122.14067)"
2012-2013,Alameda,San Leandro Hospital,106013619,30-day Mortality,12.69,9,68,As Expected,"(37.71364, -122.14067)"
2012-2013,Alameda,Valleycare Medical Center,106014050,30-day Readmission,10.57,10,111,As Expected,"(37.69206, -121.88095)"
2012-2013,Alameda,Valleycare Medical Center,106014050,30-day Mortality,9.02,7,112,As Expected,"(37.69206, -121.88095)"
2012-2013,Alameda,Eden Medical Center,106014233,30-day Mortality,10.86,49,399,As Expected,"(37.6983769, -122.0874055)"
2012-2013,Alameda,Eden Medical Center,106014233,30-day Readmission,11.66,45,374,As Expected,"(37.6983769, -122.0874055)"
2012-2013,Amador,Sutter Amador Hospital,106034002,30-day Readmission,7.83,8,107,As Expected,"(38.34743, -120.77272)"
2012-2013,Amador,Sutter Amador Hospital,106034002,30-day Mortality,11.5,13,111,As Expected,"(38.34743, -120.77272)"
2012-2013,Butte,Feather River Hospital,106040875,30-day Readmission,12.08,15,135,As Expected,"(39.75641, -121.57218)"
2012-2013,Butte,Feather River Hospital,106040875,30-day Mortality,7.63,10,136,As Expected,"(39.75641, -121.57218)"
2012-2013,Butte,Oroville Hospital,106040937,30-day Readmission,16.88,26,166,As Expected,"(39.50485, -121.5428)"
2012-2013,Butte,Oroville Hospital,106040937,30-day Mortality,6.25,8,172,As Expected,"(39.50485, -121.5428)"
2012-2013,Butte,Enloe Medical Center – Esplanade Campus,106040962,30-day Mortality,9.48,52,464,As Expected,"(39.74224, -121.84922)"
2012-2013,Butte,Enloe Medical Center – Esplanade Campus,106040962,30-day Readmission,11.2,43,438,As Expected,"(39.74224, -121.84922)"
2012-2013,Calaveras,Mark Twain Medical Center,106050932,30-day Readmission,24.68,9,41,As Expected,"(38.19021, -120.67105)"
2012-2013,Calaveras,Mark Twain Medical Center,106050932,30-day Mortality,15.1,7,46,As Expected,"(38.19021, -120.67105)"
2012-2013,Contra Costa,Doctors Medical Center – San Pablo,106070904,30-day Mortality,8.25,20,249,As Expected,"(37.95279, -122.33866)"
2012-2013,Contra Costa,Doctors Medical Center – San Pablo,106070904,30-day Readmission,12.39,33,238,As Expected,"(37.95279, -122.33866)"
2012-2013,Contra Costa,Contra Costa Regional Medical Center,106070924,30-day Readmission,17.38,17,109,As Expected,"(38.00646, -122.13101)"
2012-2013,Contra Costa,Contra Costa Regional Medical Center,106070924,30-day Mortality,14.21,6,113,As Expected,"(38.00646, -122.13101)"
2012-2013,Contra Costa,Sutter Delta Medical Center,106070934,30-day Readmission,13.99,25,163,As Expected,"(37.98222, -121.8054)"
2012-2013,Contra Costa,Sutter Delta Medical Center,106070934,30-day Mortality,6.48,10,167,As Expected,"(37.98222, -121.8054)"
2012-2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,30-day Readmission,10.51,42,408,As Expected,"(37.91434, -122.04183)"
2012-2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,30-day Mortality,9.18,64,444,As Expected,"(37.91434, -122.04183)"
2012-2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,30-day Mortality,9.39,46,346,As Expected,"(37.8923, -122.05828)"
2012-2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,30-day Readmission,11.38,42,326,As Expected,"(37.8923, -122.05828)"
2012-2013,Contra Costa,John Muir Medical Center – Concord Campus,106071018,30-day Mortality,8.83,30,307,As Expected,"(37.98615, -122.03874)"
2012-2013,Contra Costa,John Muir Medical Center – Concord Campus,106071018,30-day Readmission,13.14,42,293,As Expected,"(37.98615, -122.03874)"
2012-2013,Contra Costa,San Ramon Regional Medical Center,106074017,30-day Mortality,9.62,17,144,As Expected,"(37.77713, -121.96076)"
2012-2013,Contra Costa,San Ramon Regional Medical Center,106074017,30-day Readmission,12.4,16,132,As Expected,"(37.77713, -121.96076)"
2012-2013,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,30-day Readmission,11.69,35,257,As Expected,"(37.951975, -121.776854)"
2012-2013,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,30-day Mortality,7.62,27,270,As Expected,"(37.951975, -121.776854)"
2012-2013,Del Norte,Sutter Coast Hospital,106084001,30-day Readmission,13.49,12,104,As Expected,"(41.77278, -124.19514)"
2012-2013,Del Norte,Sutter Coast Hospital,106084001,30-day Mortality,9.55,11,111,As Expected,"(41.77278, -124.19514)"
2012-2013,El Dorado,Barton Memorial Hospital,106090793,30-day Mortality,8.39,2,31,As Expected,"(38.91224, -119.99784)"
2012-2013,El Dorado,Barton Memorial Hospital,106090793,30-day Readmission,,,,,"(38.91224, -119.99784)"
2012-2013,El Dorado,Marshall Medical Center,106090933,30-day Readmission,10.07,16,163,As Expected,"(38.72557326, -120.7909638)"
2012-2013,El Dorado,Marshall Medical Center,106090933,30-day Mortality,9.84,26,177,As Expected,"(38.72557326, -120.7909638)"
2012-2013,Fresno,Clovis Community Medical Center,106100005,30-day Readmission,10.93,22,213,As Expected,"(36.83745, -119.66072)"
2012-2013,Fresno,Clovis Community Medical Center,106100005,30-day Mortality,12.19,23,218,As Expected,"(36.83745, -119.66072)"
2012-2013,Fresno,Community Regional Medical Center – Fresno,106100717,30-day Mortality,13.92,70,728,Worse,"(36.74253, -119.78324)"
2012-2013,Fresno,Community Regional Medical Center – Fresno,106100717,30-day Readmission,13.48,94,690,As Expected,"(36.74253, -119.78324)"
2012-2013,Fresno,Saint Agnes Medical Center,106100899,30-day Mortality,12.05,89,714,As Expected,"(36.8370782, -119.7649963)"
2012-2013,Fresno,Saint Agnes Medical Center,106100899,30-day Readmission,12.48,86,682,As Expected,"(36.8370782, -119.7649963)"
2012-2013,Fresno,Kaiser Foundation Hospital – Fresno,106104062,30-day Readmission,10.34,34,301,As Expected,"(36.84246, -119.7832)"
2012-2013,Fresno,Kaiser Foundation Hospital – Fresno,106104062,30-day Mortality,11.64,38,316,As Expected,"(36.84246, -119.7832)"
2012-2013,Humboldt,Mad River Community Hospital,106121002,30-day Mortality,18.24,10,48,As Expected,"(40.90351, -124.09038)"
2012-2013,Humboldt,Mad River Community Hospital,106121002,30-day Readmission,10.58,4,46,As Expected,"(40.90351, -124.09038)"
2012-2013,Humboldt,Redwood Memorial Hospital,106121051,30-day Mortality,17.64,8,34,As Expected,"(40.58267, -124.13549)"
2012-2013,Humboldt,Redwood Memorial Hospital,106121051,30-day Readmission,18.53,5,31,As Expected,"(40.58267, -124.13549)"
2012-2013,Humboldt,Saint Joseph Hospital – Eureka,106121080,30-day Readmission,9.12,16,174,As Expected,"(40.7832, -124.14216)"
2012-2013,Humboldt,Saint Joseph Hospital – Eureka,106121080,30-day Mortality,8.7,17,185,As Expected,"(40.7832, -124.14216)"
2012-2013,Imperial,El Centro Regional Medical Center,106130699,30-day Readmission,14.75,33,207,As Expected,"(32.78138, -115.49824)"
2012-2013,Imperial,El Centro Regional Medical Center,106130699,30-day Mortality,8.04,14,218,As Expected,"(32.78138, -115.49824)"
2012-2013,Imperial,Pioneers Memorial Healthcare District,106130760,30-day Mortality,8.26,8,133,As Expected,"(32.96003, -115.55183)"
2012-2013,Imperial,Pioneers Memorial Healthcare District,106130760,30-day Readmission,12.08,14,126,As Expected,"(32.96003, -115.55183)"
2012-2013,Kern,Bakersfield Memorial Hospital,106150722,30-day Mortality,14.13,36,326,As Expected,"(35.39051, -119.00658)"
2012-2013,Kern,Bakersfield Memorial Hospital,106150722,30-day Readmission,13.61,43,310,As Expected,"(35.39051, -119.00658)"
2012-2013,Kern,Kern Medical Center,106150736,30-day Readmission,8.76,3,40,As Expected,"(35.380833, -118.967222)"
2012-2013,Kern,Kern Medical Center,106150736,30-day Mortality,0,0,40,As Expected,"(35.380833, -118.967222)"
2012-2013,Kern,Mercy Hospital – Bakersfield,106150761,30-day Readmission,15.48,28,195,As Expected,"(35.37323, -119.02715)"
2012-2013,Kern,Mercy Hospital – Bakersfield,106150761,30-day Mortality,12.23,26,208,As Expected,"(35.37323, -119.02715)"
2012-2013,Kern,Ridgecrest Regional Hospital,106150782,30-day Readmission,,,,,"(35.6404, -117.66996)"
2012-2013,Kern,Ridgecrest Regional Hospital,106150782,30-day Mortality,15.01,5,30,As Expected,"(35.6404, -117.66996)"
2012-2013,Kern,San Joaquin Community Hospital,106150788,30-day Mortality,12.78,70,694,As Expected,"(35.383064, -119.018775)"
2012-2013,Kern,San Joaquin Community Hospital,106150788,30-day Readmission,14,89,669,As Expected,"(35.383064, -119.018775)"
2012-2013,Kern,Bakersfield Heart Hospital,106154101,30-day Mortality,4.14,3,80,As Expected,"(35.38619, -119.04314)"
2012-2013,Kern,Bakersfield Heart Hospital,106154101,30-day Readmission,6.76,5,79,As Expected,"(35.38619, -119.04314)"
2012-2013,Kings,Adventist Medical Center,106164029,30-day Readmission,11.21,22,199,As Expected,"(36.3256247, -119.6683912)"
2012-2013,Kings,Adventist Medical Center,106164029,30-day Mortality,12.42,23,211,As Expected,"(36.3256247, -119.6683912)"
2012-2013,Lake,Sutter Lakeside Hospital,106171395,30-day Readmission,7.43,4,55,As Expected,"(39.10232, -122.91003)"
2012-2013,Lake,Sutter Lakeside Hospital,106171395,30-day Mortality,11.96,9,56,As Expected,"(39.10232, -122.91003)"
2012-2013,Los Angeles,Alhambra Hospital,106190017,30-day Readmission,8.23,9,97,As Expected,"(34.08988, -118.1449)"
2012-2013,Los Angeles,Alhambra Hospital,106190017,30-day Mortality,7.53,8,101,As Expected,"(34.08988, -118.1449)"
2012-2013,Los Angeles,Antelope Valley Hospital,106190034,30-day Readmission,13.3,57,434,As Expected,"(34.68928, -118.15767)"
2012-2013,Los Angeles,Antelope Valley Hospital,106190034,30-day Mortality,12.61,47,460,As Expected,"(34.68928, -118.15767)"
2012-2013,Los Angeles,Saint Mary Medical Center,106190053,30-day Mortality,8.84,14,185,As Expected,"(33.7802376, -118.1866412)"
2012-2013,Los Angeles,Saint Mary Medical Center,106190053,30-day Readmission,11.54,24,177,As Expected,"(33.7802376, -118.1866412)"
2012-2013,Los Angeles,Beverly Hospital,106190081,30-day Readmission,15.6,27,148,As Expected,"(34.01614, -118.10132)"
2012-2013,Los Angeles,Beverly Hospital,106190081,30-day Mortality,11.52,19,161,As Expected,"(34.01614, -118.10132)"
2012-2013,Los Angeles,Southern California Hospital At Culver City,106190110,30-day Readmission,18.62,21,103,As Expected,"(34.02328, -118.39724)"
2012-2013,Los Angeles,Southern California Hospital At Culver City,106190110,30-day Mortality,5.22,4,108,As Expected,"(34.02328, -118.39724)"
2012-2013,Los Angeles,California Hospital Medical Center – Los Angeles,106190125,30-day Mortality,9.58,13,252,As Expected,"(34.03721, -118.26551)"
2012-2013,Los Angeles,California Hospital Medical Center – Los Angeles,106190125,30-day Readmission,13.87,35,243,As Expected,"(34.03721, -118.26551)"
2012-2013,Los Angeles,Centinela Hospital Medical Center,106190148,30-day Readmission,16.65,85,406,Worse,"(33.94917, -118.34788)"
2012-2013,Los Angeles,Centinela Hospital Medical Center,106190148,30-day Mortality,6.65,15,414,As Expected,"(33.94917, -118.34788)"
2012-2013,Los Angeles,Community and Mission Hospital of Huntington Park – Slauson,106190197,30-day Mortality,5.34,1,38,As Expected,"(33.98929, -118.22466)"
2012-2013,Los Angeles,Community and Mission Hospital of Huntington Park – Slauson,106190197,30-day Readmission,15.22,6,38,As Expected,"(33.98929, -118.22466)"
2012-2013,Los Angeles,Los Angeles Community Hospital,106190198,30-day Readmission,15.46,7,37,As Expected,"(34.01897, -118.1875)"
2012-2013,Los Angeles,Los Angeles Community Hospital,106190198,30-day Mortality,3.55,1,38,As Expected,"(34.01897, -118.1875)"
2012-2013,Los Angeles,San Gabriel Valley Medical Center,106190200,30-day Mortality,7,11,142,As Expected,"(34.1024, -118.10503)"
2012-2013,Los Angeles,San Gabriel Valley Medical Center,106190200,30-day Readmission,10.19,15,139,As Expected,"(34.1024, -118.10503)"
2012-2013,Los Angeles,Lakewood Regional Medical Center,106190240,30-day Readmission,17.07,66,374,Worse,"(33.86016, -118.14837)"
2012-2013,Los Angeles,Lakewood Regional Medical Center,106190240,30-day Mortality,12.92,38,400,As Expected,"(33.86016, -118.14837)"
2012-2013,Los Angeles,Downey Regional Medical Center,106190243,30-day Readmission,13.62,35,241,As Expected,"(33.93515, -118.13196)"
2012-2013,Los Angeles,Downey Regional Medical Center,106190243,30-day Mortality,10.47,25,252,As Expected,"(33.93515, -118.13196)"
2012-2013,Los Angeles,Encino Hospital Medical Center,106190280,30-day Readmission,14.81,8,41,As Expected,"(34.15686, -118.48662)"
2012-2013,Los Angeles,Encino Hospital Medical Center,106190280,30-day Mortality,3.95,3,43,As Expected,"(34.15686, -118.48662)"
2012-2013,Los Angeles,Foothill Presbyterian Hospital – Johnston Memorial,106190298,30-day Readmission,14.91,14,106,As Expected,"(34.13384, -117.87244)"
2012-2013,Los Angeles,Foothill Presbyterian Hospital – Johnston Memorial,106190298,30-day Mortality,9.16,9,110,As Expected,"(34.13384, -117.87244)"
2012-2013,Los Angeles,"Pacific Alliance Medical Center, Inc.",106190307,30-day Readmission,8.1,9,97,As Expected,"(34.06464, -118.23905)"
2012-2013,Los Angeles,"Pacific Alliance Medical Center, Inc.",106190307,30-day Mortality,4.71,3,97,As Expected,"(34.06464, -118.23905)"
2012-2013,Los Angeles,Garfield Medical Center,106190315,30-day Mortality,5.76,21,330,Better,"(34.06826, -118.12302)"
2012-2013,Los Angeles,Garfield Medical Center,106190315,30-day Readmission,14.25,51,319,As Expected,"(34.06826, -118.12302)"
2012-2013,Los Angeles,Glendale Adventist Medical Center – Wilson Terrace,106190323,30-day Readmission,13.53,53,367,As Expected,"(34.14951, -118.23109)"
2012-2013,Los Angeles,Glendale Adventist Medical Center – Wilson Terrace,106190323,30-day Mortality,8.79,38,383,As Expected,"(34.14951, -118.23109)"
2012-2013,Los Angeles,Greater El Monte Community Hospital,106190352,30-day Readmission,23.72,11,42,As Expected,"(34.04827, -118.04257)"
2012-2013,Los Angeles,Greater El Monte Community Hospital,106190352,30-day Mortality,5.97,2,42,As Expected,"(34.04827, -118.04257)"
2012-2013,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Readmission,20.13,56,253,Worse,"(34.09557, -118.29163)"
2012-2013,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Mortality,9.62,30,272,As Expected,"(34.09557, -118.29163)"
2012-2013,Los Angeles,Providence Holy Cross Medical Center,106190385,30-day Mortality,8.12,32,387,As Expected,"(34.2791, -118.45951)"
2012-2013,Los Angeles,Providence Holy Cross Medical Center,106190385,30-day Readmission,12.73,52,376,As Expected,"(34.2791, -118.45951)"
2012-2013,Los Angeles,Good Samaritan Hospital – Los Angeles,106190392,30-day Readmission,14.25,28,182,As Expected,"(34.05324, -118.26522)"
2012-2013,Los Angeles,Good Samaritan Hospital – Los Angeles,106190392,30-day Mortality,5.89,11,188,As Expected,"(34.05324, -118.26522)"
2012-2013,Los Angeles,Huntington Memorial Hospital,106190400,30-day Readmission,11.81,59,499,As Expected,"(34.13565, -118.1518)"
2012-2013,Los Angeles,Huntington Memorial Hospital,106190400,30-day Mortality,9.8,53,513,As Expected,"(34.13565, -118.1518)"
2012-2013,Los Angeles,Citrus Valley Medical Center – Inter Community Campus,106190413,30-day Readmission,14.59,23,157,As Expected,"(34.08993, -117.89264)"
2012-2013,Los Angeles,Citrus Valley Medical Center – Inter Community Campus,106190413,30-day Mortality,5.4,7,158,As Expected,"(34.08993, -117.89264)"
2012-2013,Los Angeles,Torrance Memorial Medical Center,106190422,30-day Readmission,15.14,81,543,As Expected,"(33.81258, -118.34388)"
2012-2013,Los Angeles,Torrance Memorial Medical Center,106190422,30-day Mortality,10.79,68,568,As Expected,"(33.81258, -118.34388)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – Sunset,106190429,30-day Readmission,13.26,54,400,As Expected,"(34.09823, -118.29545)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – Sunset,106190429,30-day Mortality,10.53,29,419,As Expected,"(34.09823, -118.29545)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,30-day Readmission,13.98,42,250,As Expected,"(33.789, -118.29415)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,30-day Mortality,12.29,30,267,As Expected,"(33.789, -118.29415)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,30-day Readmission,14.67,34,238,As Expected,"(34.21975, -118.43009)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,30-day Mortality,18.28,34,250,Worse,"(34.21975, -118.43009)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – West Los Angeles,106190434,30-day Readmission,13.86,47,310,As Expected,"(34.03793, -118.37568)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – West Los Angeles,106190434,30-day Mortality,9.74,17,313,As Expected,"(34.03793, -118.37568)"
2012-2013,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,30-day Readmission,13.55,69,512,As Expected,"(33.83767, -118.35708)"
2012-2013,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,30-day Mortality,11.75,55,550,As Expected,"(33.83767, -118.35708)"
2012-2013,Los Angeles,Community Hospital of Long Beach,106190475,30-day Readmission,5.67,3,49,As Expected,"(33.78871, -118.14578)"
2013-2014,San Diego,Alvarado Hospital,106370652,30-day Mortality,10.94,149,19,As Expected,"(32.77708, -117.05683)"
2012-2013,Los Angeles,Community Hospital of Long Beach,106190475,30-day Mortality,7.21,4,50,As Expected,"(33.78871, -118.14578)"
2012-2013,Los Angeles,Marina Del Rey Hospital,106190500,30-day Readmission,11.31,9,82,As Expected,"(33.98125, -118.43971)"
